                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.15668,                0.12823,                 0.7682,                0.99992,                0.99848,                  0.995,                0.99494,                0.15229,                0.22242,                0.62891,               0.009406,               0.009406,               0.009406
                     63,                 0.1608,                0.13013,                0.77334,                      1,                      1,                  0.995,                0.99498,                0.14843,                0.20751,                0.62864,              0.0093961,              0.0093961,              0.0093961
                     64,                0.15835,                0.13073,                 0.7798,                0.99839,                0.99848,                0.99451,                0.99435,                0.15775,                0.23619,                 0.6272,              0.0093862,              0.0093862,              0.0093862
                     61,                0.16048,                 0.1314,                0.77248,                0.99992,                      1,                  0.995,                0.99487,                0.14897,                0.23732,                0.62729,              0.0094258,              0.0094258,              0.0094258
                     62,                0.15722,                0.12816,                0.76745,                0.99992,                      1,                  0.995,                  0.995,                0.13537,                0.22447,                0.62653,               0.009406,               0.009406,               0.009406
                     63,                0.15866,                0.12812,                0.76844,                0.99839,                0.99848,                0.99479,                0.99479,                0.13889,                 0.2093,                0.62587,              0.0093961,              0.0093961,              0.0093961
                     64,                0.15319,                0.12629,                0.77986,                0.99839,                0.99848,                0.99497,                0.99474,                0.16144,                0.24135,                0.62843,              0.0093862,              0.0093862,              0.0093862
                     65,                0.15897,                0.12491,                0.77065,                      1,                      1,                  0.995,                  0.995,                0.14794,                0.26869,                0.63243,              0.0093763,              0.0093763,              0.0093763
                     66,                0.15434,                0.12313,                0.76639,                0.99839,                0.99848,                  0.995,                  0.995,                0.13033,                 0.2104,                0.62639,              0.0093664,              0.0093664,              0.0093664
                     67,                0.15798,                 0.1261,                0.76899,                 0.9984,                0.99848,                0.99498,                0.99498,                0.13481,                0.21102,                  0.627,              0.0093565,              0.0093565,              0.0093565
                     68,                0.15387,                0.12456,                0.76412,                0.99992,                      1,                  0.995,                  0.995,                0.13507,                0.22931,                0.62631,              0.0093466,              0.0093466,              0.0093466
                     69,                0.15823,                0.12823,                0.76868,                0.99828,                0.99848,                0.99473,                0.99469,                0.14065,                0.21756,                0.62694,              0.0093367,              0.0093367,              0.0093367
                     70,                0.15651,                0.12485,                0.76496,                      1,                      1,                  0.995,                  0.995,                0.12642,                 0.1973,                 0.6261,              0.0093268,              0.0093268,              0.0093268
                     71,                 0.1569,                0.12337,                0.77664,                      1,                      1,                  0.995,                  0.995,                0.13261,                0.20531,                 0.6264,              0.0093169,              0.0093169,              0.0093169
                     72,                0.15617,                0.12214,                0.76928,                0.99687,                0.99695,                0.99477,                0.99477,                0.14811,                  0.236,                0.62689,               0.009307,               0.009307,               0.009307
                     73,                0.15672,                0.12272,                0.77835,                0.99686,                0.99695,                0.99483,                0.99471,                0.13756,                0.21161,                0.62641,              0.0092971,              0.0092971,              0.0092971
                     74,                  0.155,                0.12502,                0.76947,                 0.9984,                0.99848,                0.99483,                0.99483,                0.14259,                0.21767,                0.62703,              0.0092872,              0.0092872,              0.0092872
                     75,                0.15359,                0.12395,                0.76816,                 0.9984,                0.99848,                  0.995,                0.99474,                0.14429,                0.21468,                0.62686,              0.0092773,              0.0092773,              0.0092773
                     76,                0.15619,                0.12454,                0.77703,                0.94352,                 0.9436,                0.95936,                0.95925,                0.13751,                 0.2034,                0.62612,              0.0092674,              0.0092674,              0.0092674
                     77,                0.15863,                0.12535,                0.77198,                      1,                      1,                  0.995,                  0.995,                0.13797,                0.22175,                0.63106,              0.0092575,              0.0092575,              0.0092575
                     78,                0.15423,                0.12639,                0.77555,                0.99839,                0.99848,                0.99459,                0.99459,                0.14303,                0.23203,                0.62671,              0.0092476,              0.0092476,              0.0092476
                     79,                0.15157,                0.12514,                0.77316,                0.94352,                 0.9436,                 0.9588,                 0.9588,                0.13053,                 0.2161,                0.62611,              0.0092377,              0.0092377,              0.0092377
                     80,                0.15657,                 0.1302,                0.77987,                0.99992,                      1,                  0.995,                0.99476,                0.14311,                0.21083,                0.62684,              0.0092278,              0.0092278,              0.0092278
                     81,                0.15652,                0.12318,                0.77517,                      1,                      1,                  0.995,                  0.995,                0.13434,                0.21176,                0.62631,              0.0092179,              0.0092179,              0.0092179
                     82,                0.15312,                0.12383,                0.76448,                0.99839,                0.99848,                0.99495,                0.99495,                0.13701,                0.20922,                0.62577,               0.009208,               0.009208,               0.009208
                     83,                0.15551,                0.12106,                 0.7782,                0.99992,                      1,                  0.995,                  0.995,                0.12544,                0.19535,                0.62563,              0.0091981,              0.0091981,              0.0091981
