                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.23683,                0.17902,                0.77235,                0.99687,                0.99695,                0.99252,                0.99214,                0.20302,                0.27348,                0.65267,               0.009406,               0.009406,               0.009406
                     63,                0.24053,                0.17492,                0.76876,                0.99229,                0.99238,                0.99091,                0.99091,                0.20127,                0.26034,                0.65018,              0.0093961,              0.0093961,              0.0093961
                     64,                0.23915,                0.19022,                0.77566,                      1,                      1,                  0.995,                0.99494,                0.19101,                0.30205,                0.65052,              0.0093862,              0.0093862,              0.0093862
                     65,                0.22845,                0.17552,                0.77342,                0.99535,                0.99543,                0.99174,                0.99148,                0.17504,                0.27714,                0.65051,              0.0093763,              0.0093763,              0.0093763
                     66,                0.23184,                0.18458,                0.76644,                0.99839,                0.99848,                0.99392,                0.99392,                0.15783,                0.25671,                 0.6505,              0.0093664,              0.0093664,              0.0093664
                     67,                0.23246,                0.18618,                0.77149,                0.99534,                0.99543,                0.99171,                0.99149,                0.15418,                0.24023,                0.64996,              0.0093565,              0.0093565,              0.0093565
                     68,                0.22968,                0.18022,                 0.7788,                0.99992,                      1,                  0.995,                0.99489,                0.15798,                0.25627,                0.65148,              0.0093466,              0.0093466,              0.0093466
                     69,                 0.2311,                0.17852,                0.76693,                0.99535,                0.99543,                0.99169,                0.99153,                 0.1702,                0.28595,                0.64909,              0.0093367,              0.0093367,              0.0093367
                     70,                0.22769,                 0.1774,                0.77592,                0.99382,                 0.9939,                0.99148,                0.99148,                0.17698,                0.26216,                0.65012,              0.0093268,              0.0093268,              0.0093268
                     71,                0.23468,                0.17318,                0.77904,                 0.9923,                0.99238,                0.98768,                0.98768,                0.17325,                0.30852,                0.64877,              0.0093169,              0.0093169,              0.0093169
                     72,                0.22527,                0.17214,                0.77418,                0.99534,                0.99543,                0.99291,                0.99223,                 0.2247,                0.30573,                0.65154,               0.009307,               0.009307,               0.009307
                     73,                0.22807,                0.17787,                0.76692,                0.99839,                0.99848,                0.99473,                0.99473,                0.14698,                 0.2565,                0.64923,              0.0092971,              0.0092971,              0.0092971
                     74,                0.22409,                0.18515,                0.76925,                0.99839,                0.99848,                0.99495,                0.99485,                0.14869,                0.26479,                0.65044,              0.0092872,              0.0092872,              0.0092872
                     75,                0.22934,                0.18036,                0.76935,                0.99687,                0.99695,                0.99461,                0.98715,                0.22807,                0.29969,                0.65054,              0.0092773,              0.0092773,              0.0092773
                     76,                0.22566,                0.16863,                0.77152,                0.99687,                0.99695,                0.99339,                0.99332,                0.19042,                0.32301,                0.64921,              0.0092674,              0.0092674,              0.0092674
                     77,                0.22976,                 0.1786,                0.76207,                0.99535,                0.99543,                0.99114,                0.99094,                0.18037,                0.27353,                0.64866,              0.0092575,              0.0092575,              0.0092575
                     78,                0.22548,                0.18038,                0.77422,                0.99992,                      1,                  0.995,                  0.995,                0.14408,                0.23289,                0.65076,              0.0092476,              0.0092476,              0.0092476
                     79,                0.22592,                0.17312,                0.77654,                0.99992,                      1,                  0.995,                0.99488,                0.17744,                0.27486,                0.65059,              0.0092377,              0.0092377,              0.0092377
                     80,                0.22645,                0.16475,                0.77502,                0.99992,                      1,                  0.995,                0.99491,                 0.1507,                0.26899,                0.64942,              0.0092278,              0.0092278,              0.0092278
                     81,                0.22929,                0.16341,                0.76813,                0.99992,                      1,                  0.995,                0.99491,                0.16376,                0.28742,                0.65004,              0.0092179,              0.0092179,              0.0092179
                     82,                0.22779,                0.16765,                0.77609,                0.99992,                      1,                  0.995,                0.99474,                0.16129,                0.26771,                0.65009,               0.009208,               0.009208,               0.009208
                     83,                0.22705,                0.17613,                0.77698,                0.99839,                0.99848,                  0.995,                  0.995,                0.13523,                0.22406,                0.64915,              0.0091981,              0.0091981,              0.0091981
                     84,                0.22202,                0.17039,                0.77058,                 0.9984,                0.99848,                0.99416,                0.99393,                0.21021,                 0.2943,                0.64943,              0.0091882,              0.0091882,              0.0091882
                     85,                  0.221,                0.17278,                0.77277,                0.99686,                0.99695,                0.99215,                0.99172,                0.17642,                0.25999,                0.64873,              0.0091783,              0.0091783,              0.0091783
                     86,                0.22033,                0.16698,                0.76132,                0.99687,                0.99695,                0.99235,                0.99235,                0.15431,                0.24026,                0.64796,              0.0091684,              0.0091684,              0.0091684
                     87,                0.21793,                0.17091,                0.76895,                0.98925,                0.98933,                0.98747,                0.98718,                0.18359,                0.30469,                0.64843,              0.0091585,              0.0091585,              0.0091585
                     88,                0.21996,                0.17556,                0.77137,                0.99687,                0.99695,                0.99397,                0.99397,                0.15406,                0.24864,                0.64827,              0.0091486,              0.0091486,              0.0091486
                     89,                0.22284,                0.16313,                 0.7725,                0.99992,                      1,                  0.995,                0.99497,                0.16579,                0.24715,                0.64866,              0.0091387,              0.0091387,              0.0091387
                     90,                0.21676,                0.16782,                0.77482,                      1,                      1,                  0.995,                  0.995,                0.17378,                0.27483,                0.65002,              0.0091288,              0.0091288,              0.0091288
                     91,                0.21626,                0.17254,                0.77588,                      1,                      1,                  0.995,                0.99478,                0.15722,                0.26847,                0.65103,              0.0091189,              0.0091189,              0.0091189
                     92,                0.22103,                0.16867,                0.76951,                0.99992,                      1,                  0.995,                0.99486,                 0.1359,                0.23972,                0.64909,               0.009109,               0.009109,               0.009109
                     93,                0.21215,                 0.1699,                0.77182,                0.99992,                      1,                  0.995,                0.99497,                0.14692,                0.26682,                0.64824,              0.0090991,              0.0090991,              0.0090991
                     94,                0.21545,                0.16942,                0.77021,                 0.9923,                0.99238,                0.99027,                0.99023,                0.12664,                0.23044,                0.64908,              0.0090892,              0.0090892,              0.0090892
                     95,                0.21963,                0.16826,                0.76805,                0.99839,                0.99848,                0.99381,                0.99381,                 0.1582,                0.23664,                0.64922,              0.0090793,              0.0090793,              0.0090793
                     96,                0.21134,                0.16552,                0.77001,                      1,                      1,                  0.995,                0.99489,                0.22892,                0.27356,                0.64949,              0.0090694,              0.0090694,              0.0090694
                     97,                0.21241,                0.16251,                0.76527,                0.99992,                      1,                  0.995,                0.99486,                0.14384,                0.25185,                0.64966,              0.0090595,              0.0090595,              0.0090595
                     98,                0.20949,                0.16294,                0.76958,                 0.9984,                0.99848,                 0.9948,                0.99473,                0.19875,                0.26034,                0.65042,              0.0090496,              0.0090496,              0.0090496
                     99,                0.21138,                0.17232,                0.77955,                      1,                      1,                  0.995,                0.99486,                0.14609,                0.23934,                0.64949,              0.0090397,              0.0090397,              0.0090397
                    100,                0.20897,                0.16642,                0.77034,                0.99992,                      1,                  0.995,                  0.995,                0.14052,                0.23357,                0.65105,              0.0090298,              0.0090298,              0.0090298
                    101,                0.20678,                0.16881,                 0.7694,                0.99839,                0.99848,                0.99497,                0.99497,                 0.1273,                0.23495,                0.64998,              0.0090199,              0.0090199,              0.0090199
                    102,                0.21163,                0.17092,                0.77728,                0.99839,                0.99848,                0.99485,                0.99485,                0.12498,                0.22509,                0.64889,                0.00901,                0.00901,                0.00901
                    103,                0.21266,                0.16452,                0.77277,                0.99992,                      1,                  0.995,                0.99486,                0.15796,                0.24982,                0.65018,              0.0090001,              0.0090001,              0.0090001
                    104,                0.21688,                0.16408,                0.77938,                0.99535,                0.99543,                0.99052,                0.99052,                0.14111,                0.24455,                0.64856,              0.0089902,              0.0089902,              0.0089902
                    105,                0.20947,                0.16888,                0.76823,                0.99687,                0.99695,                0.99362,                0.99347,                0.15096,                0.24545,                 0.6501,              0.0089803,              0.0089803,              0.0089803
                    106,                0.20874,                0.16472,                0.77602,                0.99534,                0.99543,                0.99275,                0.99275,                 0.1623,                0.26778,                0.64792,              0.0089704,              0.0089704,              0.0089704
                    107,                0.20575,                0.16669,                0.76869,                0.99687,                0.99695,                0.99305,                0.99293,                0.14411,                0.25226,                0.64805,              0.0089605,              0.0089605,              0.0089605
                    108,                0.20675,                0.16471,                0.76938,                      1,                      1,                  0.995,                  0.995,                0.13287,                0.24131,                0.64781,              0.0089506,              0.0089506,              0.0089506
                    109,                0.20218,                 0.1642,                0.76367,                0.99992,                      1,                  0.995,                  0.995,                0.13282,                0.22492,                0.64828,              0.0089407,              0.0089407,              0.0089407
                    110,                0.20786,                0.15879,                0.77201,                0.99839,                0.99848,                0.99489,                0.99489,                0.14039,                0.24072,                0.64711,              0.0089308,              0.0089308,              0.0089308
                    111,                0.20617,                0.16123,                0.77272,                0.99991,                      1,                  0.995,                  0.995,                0.15529,                0.25387,                0.64851,              0.0089209,              0.0089209,              0.0089209
                    112,                0.21206,                0.16478,                0.76898,                0.99839,                0.99848,                0.99445,                0.99444,                0.14302,                0.24052,                0.64816,               0.008911,               0.008911,               0.008911
                    113,                 0.2079,                0.16236,                0.76849,                0.99839,                0.99848,                0.99364,                0.99354,                0.19165,                0.28356,                0.64871,               0.008911,               0.008911,               0.008911
                    114,                0.21348,                0.16853,                0.76598,                0.99534,                0.99543,                0.99052,                0.99052,                0.15965,                0.25093,                 0.6463,              0.0088912,              0.0088912,              0.0088912
                    115,                 0.2116,                0.15895,                0.76273,                0.99687,                0.99695,                0.99494,                0.99494,                0.13882,                0.23349,                0.64713,              0.0088813,              0.0088813,              0.0088813
                    116,                0.20706,                0.15944,                0.76987,                0.98772,                 0.9878,                0.98248,                0.98239,                0.18363,                0.25934,                0.64939,              0.0088714,              0.0088714,              0.0088714
                    117,                0.20941,                0.15941,                0.77331,                0.99839,                0.99848,                0.99492,                0.99483,                 0.1477,                0.23991,                0.64669,              0.0088615,              0.0088615,              0.0088615
                    118,                0.20221,                0.16335,                0.76839,                0.99839,                0.99848,                0.99358,                0.99358,                0.13886,                0.22468,                 0.6471,              0.0088516,              0.0088516,              0.0088516
                    119,                0.20187,                0.15993,                0.77802,                      1,                      1,                  0.995,                0.99486,                0.16223,                0.23999,                0.64895,              0.0088417,              0.0088417,              0.0088417
                    120,                0.20759,                0.16031,                0.77505,                      1,                      1,                  0.995,                  0.995,                0.13846,                0.23822,                0.64685,              0.0088318,              0.0088318,              0.0088318
                    121,                0.20351,                0.16187,                0.76203,                0.99071,                0.98476,                0.98354,                0.98331,                0.17388,                0.28082,                0.64682,              0.0088219,              0.0088219,              0.0088219
                    122,                0.20895,                0.16251,                0.77147,                0.99378,                 0.9878,                 0.9911,                0.99091,                0.18043,                0.26757,                 0.6492,               0.008812,               0.008812,               0.008812
                    123,                0.20693,                0.16314,                0.76611,                0.99839,                0.99848,                0.99498,                0.99498,                0.15084,                0.22838,                0.64713,              0.0088021,              0.0088021,              0.0088021
                    124,                0.20205,                0.16276,                0.76566,                0.99838,                0.99848,                0.99498,                0.99498,                0.12309,                0.20522,                0.64818,              0.0087922,              0.0087922,              0.0087922
                    125,                0.20955,                0.15618,                0.76542,                0.99839,                0.99848,                0.99476,                0.99476,                 0.1479,                0.21512,                0.64872,              0.0087823,              0.0087823,              0.0087823
                    126,                0.20525,                0.15517,                0.77361,                0.99839,                0.99848,                 0.9948,                0.99473,                0.17775,                0.26811,                 0.6497,              0.0087724,              0.0087724,              0.0087724
                    127,                0.19432,                0.15597,                0.77188,                0.99534,                0.99543,                0.99447,                0.99441,                0.18228,                0.25314,                0.65039,              0.0087625,              0.0087625,              0.0087625
                    128,                0.19504,                0.15854,                0.76767,                0.99534,                0.99543,                0.99356,                0.99356,                 0.1448,                0.24875,                0.64892,              0.0087526,              0.0087526,              0.0087526
                    129,                0.20427,                0.16226,                0.77288,                      1,                      1,                  0.995,                  0.995,                0.14816,                 0.2467,                0.64701,              0.0087427,              0.0087427,              0.0087427
                    130,                0.20245,                0.15962,                0.76907,                      1,                      1,                  0.995,                0.99479,                0.18506,                0.27613,                0.64802,              0.0087328,              0.0087328,              0.0087328
                    131,                0.19899,                0.15735,                0.77045,                      1,                      1,                  0.995,                0.99488,                0.14055,                0.22707,                0.64789,              0.0087229,              0.0087229,              0.0087229
                    132,                0.20753,                0.15876,                0.77312,                0.99382,                 0.9939,                0.99099,                0.99099,                0.13453,                0.23563,                0.64633,               0.008713,               0.008713,               0.008713
                    133,                0.19913,                0.16405,                0.77069,                0.99534,                0.99543,                0.99322,                0.99322,                 0.1281,                0.22411,                0.64678,              0.0087031,              0.0087031,              0.0087031
